	1	2	3	4	5	6	7	8	9	10	11	12
A	VA1 205	VA2 234	OTIS 79	NY 139	QC93 143	OTIS 81	OTIS 191	QC93 31	QC93 99	NY 140	NC 410	VA2 347
B	QC-32 60	QC93 36	VA1 210	QC32 6	NC 218	VA2 89	NC 242	QC32 158	QC93 100	VA1 43	VA1 280	QC32 163
C	QC-93 19	QC32 225	VA1 167	NC 217	QC32 229	VA1 323	NY 132	VA1 48	VA2 237	VA2 200	VA1 298	OTIS3 95
D	VA1 154	VA1 170	VA1 174	QC32 46	QC32 254	QC32 183	NY 109	VA1 106	NC 137	NC 392	QC32 160	VA2 16
E	OTIS 186	VA2 26	QC32 56	NY 110	QC32 123	VA2 91	VA1 206	QC93 121 	QC93 69	QC 165	NC 131	NY 140
F	VA1 203	VA2 14	NY 146	QC32 157	NC 86	VA1 28	VA1 107	VA1 211 	QC93 360	NC 136	VA2 6/28 119	QC93 39 EGGS
G	NY 11	VA2 235	QC32 64	OTIS3 97	QC32 255	QC32 71	NY 353	VA1 380	VA1 455	VA1 274	QC32 162	VA1 276
H	VA2 24	VA1 44	OTIS 76	NY 135	OTIS 6/27 96	QC32 67	VA1 336	QC93 325	QC32 396M	QC93 18	NC 393	VA1 169
