	1	2	3	4	5	6	7	8	9	10	11	12
A	VA2 125	OTIS 9	VA2 238	NC 412	VA2 116	NY 108	NC 72	OTIS 195	VA1 204	QC93 151	QC32 7	VA1 383
B	OTIS 193	VA2 352	VA1 297	NY 84	QC32 62	NC 358	OTIS 10	QC32 164	VA2 23	QC32 250	NY 326	QC32 55
C	QC93 30 EGGS	QC32 53	VA1 112	NC 130	VA2 15	NC 359	VA2 114	VA2 35	NY 272	VA1 118	VA1 37	VA2 238
D	VA2 25	VA2 428	NY 145	OTIS 4	QC93 248	VA2 350	QC32 388	QC93 142	NC 431	QC93 21	NY 85	VA2 149
E	VA2 197	NC 240	QC32 63	NY3 271	QC93 105	OTIS 196	NC 34	OTIS 75	VA2 342	NY4 147	VA2 87	NC 216
F	NY 1/2 284	QC93 41	QC93 33	NC 355	QC93 370	QC93 20	OTIS 8	QC32 378	QC93 369	OTIS 176	NY 83	VA1 45
G	QC93 103	QC32 65	NY 357	VA2 88	NY 269	QC93 37	VA2 127	NY 73	QC32 161 	QC93 142	QC93 248	OTIS 2
H	OTIS 80	VA1 172	NY 83	VA2 90	QC32 122	NY 13	QC32 347	VA1 13	VA1 27	NC 433	VA2 120	QC93 94
